Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
Atlético Mineiro,6,Fortaleza EC,9,31,"qua, 01/11/23",20:30,3,1,Arena MRV,28.898 torcedores,Matheus Delgado Candançan
Cuiabá EC,11,CR Vasco da Gama,17,31,"qui, 02/11/23",16:00,0,2,Arena Pantanal,27.604 torcedores,Ramon Abatti
Goiás EC,18,RB Bragantino,3,31,"qui, 02/11/23",17:00,0,2,Estádio Serra Dourada,10.182 torcedores,Rodrigo Jose Pereira de Lima
São Paulo FC,10,Cruzeiro EC,12,31,"qui, 02/11/23",19:00,1,0,MorumBIS,50.570 torcedores,Wilton Sampaio
Grêmio FBPA,4,EC Bahia,16,32,"sáb, 04/11/23",18:30,1,0,Arena do Grêmio,40.154 torcedores,Braulio da Silva Machado
América Mineiro,20,Atlético Mineiro,6,32,"sáb, 04/11/23",18:30,1,1,Estádio Municipal Parque do Sabiá,5.706 torcedores,Rodrigo Jose Pereira de Lima
SE Palmeiras,2,Athletico Paranaense,7,32,"sáb, 04/11/23",20:30,1,0,Arena Barueri,17.301 torcedores,Wilton Sampaio
RB Bragantino,3,SC Corinthians,14,32,"dom, 05/11/23",15:00,1,0,Estádio Nabi Abi Chedid,10.797 torcedores,Raphael Claus
Cruzeiro EC,13,SC Internacional,11,32,"dom, 05/11/23",15:00,1,2,Estádio Governador Magalhães Pinto,36.801 torcedores,Matheus Delgado Candançan
Fortaleza EC,9,CR Flamengo,5,32,"dom, 05/11/23",15:00,0,2,Estádio Governador Plácido Castelo,49.324 torcedores,Anderson Daronco
Coritiba FC,19,Goiás EC,18,32,"dom, 05/11/23",17:30,0,1,Estádio Major Antônio Couto Pereira,12.942 torcedores,Rafael Rodrigo Klein
CR Vasco da Gama,17,Botafogo FR,1,32,"seg, 06/11/23",18:00,1,0,Estádio São Januário,21.043 torcedores,Leandro Pedro Vuaden
Santos FC,15,Cuiabá EC,12,32,"seg, 06/11/23",20:00,0,0,Estádio Urbano Caldeira,12.923 torcedores,Savio Pereira Sampaio
Fluminense FC,8,São Paulo FC,10,32,"qua, 22/11/23",20:30,1,0,Estádio Jornalista Mário Filho,44.694 torcedores,André Luiz Skettino Policarpo Bento
SC Internacional,12,Fluminense FC,8,33,"qua, 08/11/23",18:00,0,0,Estádio Beira-Rio,18.669 torcedores,Rodrigo Jose Pereira de Lima
América Mineiro,20,Coritiba FC,19,33,"qua, 08/11/23",18:00,0,3,Estádio Raimundo Sampaio,1.943 torcedores,Marcelo de Lima Henrique  (RJ)
São Paulo FC,9,RB Bragantino,5,33,"qua, 08/11/23",19:00,1,0,Estádio Urbano Caldeira,11.948 torcedores,Flavio Rodrigues de Souza
Athletico Paranaense,7,Fortaleza EC,11,33,"qua, 08/11/23",19:00,1,1,Ligga Arena,19.831 torcedores,Raphael Claus
CR Flamengo,4,SE Palmeiras,3,33,"qua, 08/11/23",20:30,3,0,Estádio Jornalista Mário Filho,64.590 torcedores,Rodrigo Jose Pereira de Lima
SC Corinthians,15,Atlético Mineiro,6,33,"qui, 09/11/23",18:00,1,1,Neo Química Arena,30.348 torcedores,Braulio da Silva Machado
Goiás EC,18,Santos FC,13,33,"qui, 09/11/23",18:00,0,1,Estádio Serra Dourada,11.836 torcedores,Paulo Cesar Zanovelli
Botafogo FR,1,Grêmio FBPA,2,33,"qui, 09/11/23",19:00,3,4,Estádio São Januário,17.708 torcedores,Ramon Abatti
EC Bahia,17,Cuiabá EC,10,33,"qui, 09/11/23",19:00,0,3,Arena Fonte Nova,33.931 torcedores,Felipe Fernandes
Cruzeiro EC,14,CR Vasco da Gama,16,33,"qua, 22/11/23",18:00,2,2,Estádio Governador Magalhães Pinto,Árbitro:,Leandro Pedro Vuaden
Coritiba FC,19,Cruzeiro EC,16,34,"sáb, 11/11/23",15:00,1,0,Estádio Durival Britto e Silva,7.243 torcedores,Braulio da Silva Machado
CR Flamengo,3,Fluminense FC,8,34,"sáb, 11/11/23",17:30,1,1,Estádio Jornalista Mário Filho,64.399 torcedores,Wilton Sampaio
SE Palmeiras,1,SC Internacional,13,34,"sáb, 11/11/23",20:00,3,0,Arena Barueri,19.358 torcedores,Paulo Cesar Zanovelli
RB Bragantino,5,Botafogo FR,2,34,"dom, 12/11/23",15:00,2,2,Estádio Nabi Abi Chedid,9.869 torcedores,Anderson Daronco
Grêmio FBPA,4,SC Corinthians,12,34,"dom, 12/11/23",15:00,0,1,Arena do Grêmio,51.842 torcedores,Rodrigo Jose Pereira de Lima
CR Vasco da Gama,15,América Mineiro,20,34,"dom, 12/11/23",17:30,2,1,Estádio São Januário,19.478 torcedores,Savio Pereira Sampaio
Santos FC,14,São Paulo FC,10,34,"dom, 12/11/23",17:30,0,0,Estádio Urbano Caldeira,13.442 torcedores,Raphael Claus
Atlético Mineiro,6,Goiás EC,18,34,"dom, 12/11/23",17:30,2,1,Arena MRV,29.173 torcedores,Marcelo de Lima Henrique  (RJ)
EC Bahia,17,Athletico Paranaense,7,34,"dom, 12/11/23",17:30,1,1,Arena Fonte Nova,33.978 torcedores,Rafael Rodrigo Klein
Cuiabá EC,9,Fortaleza EC,11,34,"dom, 12/11/23",17:30,2,1,Arena Pantanal,14.728 torcedores,Caio Max Augusto Vieira
SC Corinthians,14,EC Bahia,17,35,"sex, 24/11/23",20:00,1,5,Neo Química Arena,39.403 torcedores,Marcelo de Lima Henrique  (RJ)
Athletico Paranaense,8,CR Vasco da Gama,16,35,"sáb, 25/11/23",18:30,0,0,Ligga Arena,22.056 torcedores,Anderson Daronco
Fluminense FC,7,Coritiba FC,19,35,"sáb, 25/11/23",20:00,2,1,Estádio Jornalista Mário Filho,19.219 torcedores,Matheus Delgado Candançan
Botafogo FR,3,Santos FC,15,35,"dom, 26/11/23",15:00,1,1,Estádio Olímpico Nilton Santos,29.387 torcedores,Wilton Sampaio
Atlético Mineiro,4,Grêmio FBPA,5,35,"dom, 26/11/23",15:00,3,0,Arena MRV,39.337 torcedores,Braulio da Silva Machado
São Paulo FC,10,Cuiabá EC,9,35,"dom, 26/11/23",17:30,0,0,MorumBIS,34.252 torcedores,Paulo Cesar Zanovelli
SC Internacional,11,RB Bragantino,6,35,"dom, 26/11/23",17:30,1,0,Estádio Beira-Rio,22.170 torcedores,Felipe Fernandes
Fortaleza EC,12,SE Palmeiras,1,35,"dom, 26/11/23",17:30,2,2,Estádio Governador Plácido Castelo,40.382 torcedores,André Luiz Skettino Policarpo Bento
América Mineiro,20,CR Flamengo,2,35,"dom, 26/11/23",17:30,0,3,Estádio Municipal Parque do Sabiá,39.900 torcedores,Rodrigo Jose Pereira de Lima
Goiás EC,18,Cruzeiro EC,13,35,"seg, 27/11/23",19:00,0,1,Estádio Serra Dourada,9.143 torcedores,Ramon Abatti
CR Vasco da Gama,16,SC Corinthians,13,36,"ter, 28/11/23",20:30,2,4,Estádio São Januário,20.577 torcedores,Savio Pereira Sampaio
Santos FC,15,Fluminense FC,7,36,"qua, 29/11/23",18:00,0,3,Estádio Urbano Caldeira,12.855 torcedores,Anderson Daronco
CR Flamengo,4,Atlético Mineiro,3,36,"qua, 29/11/23",18:30,0,3,Estádio Jornalista Mário Filho,65.305 torcedores,Ramon Abatti
EC Bahia,17,São Paulo FC,9,36,"qua, 29/11/23",19:00,0,1,Arena Fonte Nova,46.288 torcedores,Braulio da Silva Machado
Cuiabá EC,12,SC Internacional,10,36,"qua, 29/11/23",19:00,0,2,Arena Pantanal,12.527 torcedores,Dyorgines Jose Padovani
SE Palmeiras,1,América Mineiro,20,36,"qua, 29/11/23",20:30,4,0,Allianz Parque,29.717 torcedores,Wilton Sampaio
Coritiba FC,19,Botafogo FR,2,36,"qua, 29/11/23",20:30,1,1,Estádio Major Antônio Couto Pereira,Árbitro:,Rodrigo Jose Pereira de Lima
Grêmio FBPA,5,Goiás EC,18,36,"qui, 30/11/23",18:00,2,1,Arena do Grêmio,38.683 torcedores,Marcelo de Lima Henrique  (RJ)
Cruzeiro EC,14,Athletico Paranaense,8,36,"qui, 30/11/23",19:00,1,1,Estádio Governador Magalhães Pinto,36.696 torcedores,Leandro Pedro Vuaden
RB Bragantino,6,Fortaleza EC,11,36,"qui, 30/11/23",19:30,1,2,Estádio Nabi Abi Chedid,4.596 torcedores,Denis Ribeiro Serafim
SC Corinthians,13,SC Internacional,9,37,"sáb, 02/12/23",17:00,1,2,Neo Química Arena,40.583 torcedores,Caio Max Augusto Vieira
Atlético Mineiro,2,São Paulo FC,11,37,"sáb, 02/12/23",20:00,2,1,Estádio Governador Magalhães Pinto,53.856 torcedores,Savio Pereira Sampaio
CR Flamengo,3,Cuiabá EC,12,37,"dom, 03/12/23",15:00,2,1,Estádio Jornalista Mário Filho,63.148 torcedores,Rodrigo Jose Pereira de Lima
SE Palmeiras,1,Fluminense FC,7,37,"dom, 03/12/23",15:00,1,0,Allianz Parque,29.986 torcedores,Braulio da Silva Machado
Botafogo FR,5,Cruzeiro EC,14,37,"dom, 03/12/23",17:30,0,0,Estádio Olímpico Nilton Santos,15.462 torcedores,Wilton Sampaio
RB Bragantino,6,Coritiba FC,19,37,"dom, 03/12/23",17:30,1,0,Estádio Nabi Abi Chedid,3.442 torcedores,Dyorgines Jose Padovani
Grêmio FBPA,4,CR Vasco da Gama,16,37,"dom, 03/12/23",17:30,1,0,Arena do Grêmio,50.481 torcedores,Ramon Abatti
Athletico Paranaense,8,Santos FC,15,37,"dom, 03/12/23",17:30,3,0,Ligga Arena,21.056 torcedores,Rafael Rodrigo Klein
Fortaleza EC,10,Goiás EC,18,37,"dom, 03/12/23",17:30,1,0,Estádio Governador Plácido Castelo,50.317 torcedores,Anderson Daronco
América Mineiro,20,EC Bahia,17,37,"dom, 03/12/23",17:30,3,2,Estádio Raimundo Sampaio,2.471 torcedores,Marcelo de Lima Henrique  (RJ)
Goiás EC,18,América Mineiro,20,38,"qua, 06/12/23",18:00,1,0,Estádio Serra Dourada,1.966 torcedores,Davi de Oliveira Lacerda
Fluminense FC,7,Grêmio FBPA,2,38,"qua, 06/12/23",20:30,2,3,Estádio Jornalista Mário Filho,44.190 torcedores,Raphael Claus
CR Vasco da Gama,15,RB Bragantino,6,38,"qua, 06/12/23",20:30,2,1,Estádio São Januário,20.037 torcedores,Wilton Sampaio
São Paulo FC,11,CR Flamengo,4,38,"qua, 06/12/23",20:30,1,0,MorumBIS,36.618 torcedores,Caio Max Augusto Vieira
Santos FC,17,Fortaleza EC,10,38,"qua, 06/12/23",20:30,1,2,Estádio Urbano Caldeira,14.130 torcedores,Leandro Pedro Vuaden
Cruzeiro EC,14,SE Palmeiras,1,38,"qua, 06/12/23",20:30,1,1,Estádio Governador Magalhães Pinto,44.190 torcedores,Anderson Daronco
SC Internacional,9,Botafogo FR,5,38,"qua, 06/12/23",20:30,3,1,Estádio Beira-Rio,27.365 torcedores,Flavio Rodrigues de Souza
Coritiba FC,19,SC Corinthians,13,38,"qua, 06/12/23",20:30,0,2,Estádio Major Antônio Couto Pereira,Árbitro:,Jonathan Benkenstein Pinheiro
EC Bahia,16,Atlético Mineiro,3,38,"qua, 06/12/23",20:30,4,1,Arena Fonte Nova,28.019 torcedores,Ramon Abatti
Cuiabá EC,12,Athletico Paranaense,8,38,"qua, 06/12/23",20:30,3,0,Arena Pantanal,9.689 torcedores,Paulo Belence Alves dos Prazeres Filho
