Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
Botafogo FR,1,SC Internacional,14,19,"sáb, 12/08/23",21:00,3,1,Estádio Olímpico Nilton Santos,39.598 torcedores,Flavio Rodrigues de Souza
Atlético Mineiro,10,EC Bahia,16,19,"dom, 13/08/23",11:00,1,0,Estádio Governador Magalhães Pinto,29.847 torcedores,Savio Pereira Sampaio
SC Corinthians,13,Coritiba FC,19,19,"dom, 13/08/23",16:00,3,1,Neo Química Arena,42.171 torcedores,Ramon Abatti
Grêmio FBPA,2,Fluminense FC,7,19,"dom, 13/08/23",16:00,2,1,Arena do Grêmio,38.712 torcedores,Rodrigo Jose Pereira de Lima
América Mineiro,20,Goiás EC,15,19,"dom, 13/08/23",16:00,0,1,Estádio Raimundo Sampaio,2.888 torcedores,Luiz Flávio de Oliveira (SP)
CR Flamengo,4,São Paulo FC,9,19,"dom, 13/08/23",18:30,1,1,Estádio Jornalista Mário Filho,62.018 torcedores,Rafael Rodrigo Klein
Fortaleza EC,11,Santos FC,17,19,"dom, 13/08/23",18:30,4,0,Estádio Governador Plácido Castelo,32.301 torcedores,Bruno Mota Correia
SE Palmeiras,3,Cruzeiro EC,12,19,"seg, 14/08/23",19:00,1,0,Allianz Parque,38.555 torcedores,Wagner do Nascimento Magalhães
RB Bragantino,5,CR Vasco da Gama,18,19,"seg, 14/08/23",21:00,1,1,Estádio Nabi Abi Chedid,5.553 torcedores,Anderson Daronco
Athletico Paranaense,6,Cuiabá EC,8,19,"ter, 15/08/23",20:00,2,0,Ligga Arena,18.444 torcedores,Arthur Gomes Rabelo
São Paulo FC,10,Botafogo FR,1,20,"sáb, 19/08/23",16:00,0,0,MorumBIS,51.946 torcedores,Ramon Abatti
SC Internacional,14,Fortaleza EC,8,20,"sáb, 19/08/23",16:00,0,1,Estádio Beira-Rio,21.134 torcedores,Yuri Elino Ferreira da Cruz
Fluminense FC,4,América Mineiro,20,20,"sáb, 19/08/23",18:30,3,1,Estádio Jornalista Mário Filho,35.562 torcedores,Flavio Rodrigues de Souza
Cuiabá EC,9,SE Palmeiras,2,20,"sáb, 19/08/23",18:30,0,2,Arena Pantanal,19.115 torcedores,André Luiz Skettino Policarpo Bento
Cruzeiro EC,12,SC Corinthians,13,20,"sáb, 19/08/23",21:00,1,1,Estádio Governador Magalhães Pinto,36.202 torcedores,Rafael Rodrigo Klein
CR Vasco da Gama,18,Atlético Mineiro,11,20,"dom, 20/08/23",11:00,1,0,Estádio Jornalista Mário Filho,53.540 torcedores,Braulio da Silva Machado
Santos FC,17,Grêmio FBPA,5,20,"dom, 20/08/23",16:00,2,1,Estádio Urbano Caldeira,12.933 torcedores,Paulo Cesar Zanovelli
Coritiba FC,19,CR Flamengo,3,20,"dom, 20/08/23",16:00,2,3,Estádio Major Antônio Couto Pereira,31.851 torcedores,Raphael Claus
EC Bahia,16,RB Bragantino,7,20,"dom, 20/08/23",16:00,4,0,Arena Fonte Nova,38.452 torcedores,Arthur Gomes Rabelo
Goiás EC,15,Athletico Paranaense,6,20,"seg, 21/08/23",20:00,1,1,Estádio Serra Dourada,8.325 torcedores,Marcelo de Lima Henrique  (RJ)
CR Flamengo,4,SC Internacional,14,21,"sáb, 26/08/23",18:30,0,0,Estádio Jornalista Mário Filho,58.892 torcedores,Edina Alves Batista
SC Corinthians,12,Goiás EC,15,21,"sáb, 26/08/23",21:00,1,1,Neo Química Arena,37.316 torcedores,Paulo Cesar Zanovelli
RB Bragantino,6,Cuiabá EC,10,21,"dom, 27/08/23",11:00,2,0,Estádio Nabi Abi Chedid,3.683 torcedores,Bruno Mota Correia
Botafogo FR,1,EC Bahia,16,21,"dom, 27/08/23",16:00,3,0,Estádio Olímpico Nilton Santos,39.610 torcedores,Flavio Rodrigues de Souza
Atlético Mineiro,9,Santos FC,17,21,"dom, 27/08/23",16:00,2,0,Arena MRV,29.782 torcedores,Rafael Rodrigo Klein
América Mineiro,20,São Paulo FC,11,21,"dom, 27/08/23",16:00,2,1,Estádio Raimundo Sampaio,5.105 torcedores,Rodrigo Jose Pereira de Lima
SE Palmeiras,2,CR Vasco da Gama,18,21,"dom, 27/08/23",18:30,1,0,Allianz Parque,40.292 torcedores,Wilton Sampaio
Athletico Paranaense,7,Fluminense FC,5,21,"dom, 27/08/23",18:30,2,2,Ligga Arena,23.630 torcedores,Raphael Claus
